"Path","KB","Extension"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-monaco-plus-backup.webp","51,4",".webp"
"public\images\melhores\melhor-fogao-4-bocas\_atlas_cands\atlas-softened-lineage.png","390,4",".png"
"public\images\melhores\melhor-fogao-4-bocas\atlas-monaco-plus.webp","40,4",".webp"
"public\images\melhores\melhor-fogao-4-bocas\atlas-monaco-plus-hero.webp","119",".webp"
"public\images\melhores\melhor-fogao-4-bocas\consul-cf04nar.webp","30,4",".webp"
"public\images\melhores\melhor-fogao-4-bocas\consul-cf04nar-hero.webp","107,5",".webp"
"public\images\melhores\melhor-fogao-4-bocas\electrolux-fe4iw.webp","28,3",".webp"
"public\images\melhores\melhor-fogao-4-bocas\electrolux-fe4iw-hero.webp","104,6",".webp"
"public\images\melhores\melhor-fogao-4-bocas\melhor-fogao-4-bocas-2026.webp","70,1",".webp"
"public\images\melhores\melhor-fogao-5-bocas\cozinha-moderna-fogao-inox-luz-natural.webp","76,6",".webp"
"public\images\melhores\melhor-fogao-5-bocas\melhores-fogoes-5-bocas-hero.webp","69,9",".webp"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\atlas-157910.png","117,1",".png"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\atlas-atenas-glass-card-user.png","8",".png"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\atlas-atenas-glass-hero-user.png","127,8",".png"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\atlas-atenas-src.webp","9",".webp"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\atlas-ml-f.webp","14,2",".webp"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\atlas-official.png","81,5",".png"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\brastemp-bfo4vae-card-user.png","14",".png"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\brastemp-bfo4vae-hero-user.png","143",".png"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\brastemp-bfo4vae-src.jpg","0",".jpg"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\brastemp-bfo4vae-user.png","14,7",".png"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\brastemp-laser.jpg","0",".jpg"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\brastemp-laser-1.png","115,8",".png"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\brastemp-laser-2.png","134,2",".png"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\brastemp-laser-3.png","137,6",".png"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\brastemp-produzida.jpg","76,1",".jpg"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\brastemp-vtex.jpg","0",".jpg"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\consul-3q.jpg","79,3",".jpg"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\consul-ambientada.jpg","154,7",".jpg"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\consul-cc.jpg","0",".jpg"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\consul-cfo4var-card-user.png","8,8",".png"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\consul-cfo4var-hero-user.png","137,8",".png"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\consul-cfo4var-src.jpg","109,3",".jpg"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\consul-compracerta.jpg","0,3",".jpg"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\consul-ml-search.webp","51,2",".webp"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\consul-packshot.jpg","82,7",".jpg"
"public\images\melhores\melhor-fogao-mesa-de-vidro\_src\melhor-fogao-mesa-de-vidro-2026-hero-user.jpg","133,4",".jpg"
"public\images\melhores\melhor-fogao-mesa-de-vidro\atlas-atenas-glass.webp","16,5",".webp"
"public\images\melhores\melhor-fogao-mesa-de-vidro\atlas-atenas-glass-hero.webp","94,5",".webp"
"public\images\melhores\melhor-fogao-mesa-de-vidro\brastemp-bfo4vae.webp","25,1",".webp"
"public\images\melhores\melhor-fogao-mesa-de-vidro\brastemp-bfo4vae-hero.webp","106,3",".webp"
"public\images\melhores\melhor-fogao-mesa-de-vidro\consul-cfo4var.webp","21,6",".webp"
"public\images\melhores\melhor-fogao-mesa-de-vidro\consul-cfo4var-hero.webp","100,4",".webp"
"public\images\melhores\melhor-fogao-mesa-de-vidro\melhor-fogao-mesa-de-vidro-2026.webp","78,2",".webp"
"public\images\reviews\_src\brastemp-bfs5ncr-review-premium-original.webp","41,5",".webp"
"public\images\reviews\brastemp-bfs5ncr-review-premium.webp","19,6",".webp"
"public\images\reviews\consul-cfs5nab-review-premium.webp","50,9",".webp"
"public\images\reviews\electrolux-fe5ig-review-premium.webp","40,5",".webp"
"public\images\source-fogao-electrolux-76usq.png","11,7",".png"
"src\assets\images\blog\analise\cozinha card blog.webp","35,2",".webp"
"src\assets\images\blog\comparativos\fogao-mesa-de-vidro-ou-inox-article-hero.webp","202,2",".webp"
"src\assets\images\blog\comparativos\fogao-mesa-de-vidro-ou-inox-blog-premium.webp","190,6",".webp"
"src\assets\images\blog\electrolux-cozinha-hero-premium.png","134,6",".png"
"src\assets\images\blog\guias\fogao-4-bocas-ainda-vale-a-pena-article-hero.webp","62,7",".webp"
"src\assets\images\blog\guias\fogao-4-bocas-ainda-vale-a-pena-blog-premium.png","86,3",".png"
"src\assets\images\blog\guias\fogao-5-bocas-reduz-espaco-cozinha-article-hero.webp","110,1",".webp"
"src\assets\images\blog\guias\fogao-5-bocas-reduz-espaco-cozinha-blog-premium.webp","110,1",".webp"
"src\assets\images\blog\guias\guia-fogao-embutir-ou-de-piso-article-hero.png","109,7",".png"
"src\assets\images\blog\guias\guia-fogao-embutir-ou-de-piso-blog-premium.webp","60,9",".webp"
"src\assets\images\blog\guias\melhor-fogao-5-bocas-blog-premium.webp","56,7",".webp"
"src\assets\images\blog\guias\melhor-fogao-com-forno-duplo-article-hero.png","25,4",".png"
"src\assets\images\blog\guias\melhor-fogao-com-forno-duplo-blog-premium.png","69,3",".png"
"src\assets\images\blog\reviews\fogao-mesa-de-vidro-seguro-article-hero.png","124,8",".png"
"src\assets\images\blog\reviews\fogao-mesa-de-vidro-seguro-blog-premium.png","130,5",".png"
"src\assets\images\blog\reviews\review-fogao-com-mesa-de-vidro-article-hero.png","112,3",".png"
"src\assets\images\blog\reviews\review-fogao-com-mesa-de-vidro-blog-premium.png","124,7",".png"
"src\assets\images\cards\.backup-originals\brastemp-bfs5ncr-card-premium.webp","1633,5",".webp"
"src\assets\images\cards\.backup-originals\consul-fe5ig-card-premium.webp","1691,8",".webp"
"src\assets\images\cards\.backup-originals\electrolux-cfs5nab-card-premium.webp","1755,2",".webp"
"src\assets\images\cards\brastemp-bfs5ncr-card-premium.webp","55,5",".webp"
"src\assets\images\cards\consul-fe5ig-card-premium.webp","61",".webp"
"src\assets\images\cards\electrolux-cfs5nab-card-premium.webp","53,9",".webp"
"src\assets\images\cards\optimized\brastemp-bfs5ncr-card-premium.webp","55,5",".webp"
"src\assets\images\cards\optimized\consul-fe5ig-card-premium.webp","61",".webp"
"src\assets\images\cards\optimized\electrolux-cfs5nab-card-premium.webp","53,9",".webp"
"src\assets\images\heroes\melhores-fogoes-5-bocas-hero.webp","69,9",".webp"
"src\assets\images\heroes\melhor-fogao-4-bocas-2026.webp","70,1",".webp"
"src\assets\images\heroes\melhor-fogao-mesa-de-vidro-2026.webp","78,2",".webp"
